node,x,y,z
N0001,-0.009106510240692485,9.645062526431047e-16,0.22374010383644827
N0002,-0.031410436949858414,-4.2674197509029455e-15,0.22183624867911478
N0003,-0.009029570486026373,-0.022258712994249065,0.22306943939998755
N0004,0.013439661444291269,3.642919299551295e-16,0.2244700327279797
N0005,-0.00902957048601881,0.022258712994247927,0.22306943939998597
N0006,-0.05391662028204671,6.6058269965196814e-15,0.2165967157083163
N0007,-0.00923796845192243,-0.04446860834720699,0.2189793962975194
N0008,0.03579445160770428,1.93421667571414e-16,0.22195409814273107
N0009,-0.009237968451925607,0.04446860834720942,0.21897939629752006
N0010,-0.07634923759223854,6.453171330633722e-15,0.20924681024787145
N0011,-0.009457398285307915,-0.06659766182730115,0.21278388840928525
N0012,0.05809151646269013,1.491862189340054e-16,0.21690524315175025
N0013,-0.009457398285320294,0.0665976618273136,0.21278388840928783
N0015,-0.009719244414168764,-0.08862623567013012,0.20427512818418694
N0016,0.08018379726612014,1.7590096046404824e-15,0.20919034424654898
N0017,-0.00971924441416732,0.08862623567013157,0.20427512818418664
N0019,0.05011280463097942,-0.11053840929903272,0.4801424932343529
N0020,0.15701310883296066,3.6186331708876196e-15,0.4608230308574124
N0021,0.050112804630995156,0.11053840929899504,0.4801424932343496
N0024,0.1253030347407899,-6.897260540483785e-15,0.1976385069804363
